标题,位置,房屋类型,面积,单价,总价,介绍,网址
户型很好，地铁二，三号线，五象湖公园，主干道出行,合景天汇广场 五象湖,4室2厅,102.84平米,"10,891元/平",112万,南精装中楼层(共46层) ,https://nn.lianjia.com/ershoufang/105109076552.html
万科品质  精装 高层全湖景4房2卫  视野无遮挡,万科金域中央二期 玉洞,4室2厅,108平米,"16,482元/平",178万,南精装高楼层(共47层) ,https://nn.lianjia.com/ershoufang/105111854083.html
五象大道 三房两卫 大阳台 通风采光好,恒大绿洲 大沙田,3室2厅,113平米,"6,903元/平",78万,南精装中楼层(共13层) ,https://nn.lianjia.com/ershoufang/105115280909.html
8字头，合景相悦四季精装4房，改善优选,合景香悦四季 玉洞,4室2厅,125.35平米,"7,819元/平",98万,东南其他低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105113060257.html
天誉花园5区 3房 看房随时  毛坯房,天誉花园5组团 五象文旅,3室2厅,90.24平米,"9,420元/平",85万,西南毛坯中楼层(共35层) ,https://nn.lianjia.com/ershoufang/105113140873.html
万科公园里 4室2厅 南,万科公园里 五象文旅,4室2厅,125平米,"9,760元/平",122万,南其他高楼层(共35层) ,https://nn.lianjia.com/ershoufang/105116875796.html
业主急售 光明城市雅集苑 近五象总部基地 毛坯好房,光明城市雅集苑 五象湖,6室3厅,239.44平米,"10,650元/平",255万,南 北毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105108437703.html
五象湖，十  4中旁，湖畔书院，带车位，看湖,湖畔书院 五象湖,5室1厅,164平米,"13,293元/平",218万,南其他中楼层(共27层) ,https://nn.lianjia.com/ershoufang/105117320628.html
五象明珠 毛坯三房 近地铁口 小区园林环境好,五象明珠 玉洞,3室2厅,88.53平米,"13,555元/平",120万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112837111.html
五象湖旁正规四房  南北双阳台  有露台可以使用,融创九棠府二期 五象湖,4室1厅,130平米,"9,847元/平",128万,南精装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116718687.html
通风采光好，业主诚心出售，地铁口400米，交通便利,天誉花园6组团 五象文旅,2室1厅,44.42平米,"9,231元/平",41万,南 北精装中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105110414449.html
房子是五象湖边高档房小区，小区环境优美，上学方便,中南紫云集（南区） 玉洞,4室2厅,110平米,"10,273元/平",113万,南 北其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111749260.html
光明城市行知苑  一线湖景房  学铁商公园配套完善,光明城市行知苑 五象湖,3室2厅,95平米,"8,948元/平",85万,南精装中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114270866.html
五象湖 万科魅力之城 精装 四房两厅两卫 出售,万科魅力之城 五象湖,4室2厅,91平米,"13,737元/平",125万,南 东南其他中楼层(共35层) ,https://nn.lianjia.com/ershoufang/105114744094.html
地铁口物业   交通便利   读书方便   户型方正,合景天汇广场 五象湖,3室2厅,88平米,"9,432元/平",83万,南精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113896587.html
精装四房 未入住，中高楼层，视野开阔，户型方正！,建发五象印月 五象湖,4室2厅,133平米,"23,459元/平",312万,东南其他高楼层(共16层) ,https://nn.lianjia.com/ershoufang/105115104386.html
总部基地 盛科城 毛坯四房 业主诚心出售,盛科城 五象核心区,4室2厅,128平米,"13,125元/平",168万,东南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115909290.html
小区中间楼栋，安静舒适，看园林景观，看房方便,龙光玖珑湖二期 五象湖,3室2厅,89平米,"14,158元/平",126万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116044657.html
二号地铁82平两房 出行方便 满五证件齐全业主诚心急售,港达花园 玉洞,2室2厅,82平米,"5,610元/平",46万,南 北简装低楼层(共7层) ,https://nn.lianjia.com/ershoufang/105116225227.html
华润二十四城，精装配齐大四房，产权清晰过户方便,华润二十四城 五象湖,4室2厅,121平米,"14,877元/平",180万,南 北精装高楼层(共47层) ,https://nn.lianjia.com/ershoufang/105111289154.html
户型方正采光通透优质地铁口商圈成熟,金玖世家北区 玉洞,4室2厅,116平米,"8,621元/平",100万,南 北精装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116272848.html
绿地国际花都 安静楼栋 不吵 高楼层 业主急售,绿地 · 国际花都 五象湖,3室2厅,84平米,"12,500元/平",105万,南其他高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116138463.html
宽敞五房，业主自住，装修保养好！,华润二十四城 五象湖,5室1厅,135平米,"17,038元/平",230万,东南其他中楼层(共47层) ,https://nn.lianjia.com/ershoufang/105114635322.html
学，铁，商，一应俱全，诚心出售 看房方便,华润二十四城 五象湖,4室2厅,121平米,"14,463元/平",175万,南精装中楼层(共49层) ,https://nn.lianjia.com/ershoufang/105116829185.html
毛坯空置，采光好，阳台可看湖，无欠款,湖畔书院 五象湖,5室2厅,162平米,"17,593元/平",285万,南毛坯高楼层(共14层) ,https://nn.lianjia.com/ershoufang/105114918270.html
云星C2地块，大三房中间楼层，格局方正。,云星钱隆首府C区 五象核心区,3室2厅,102平米,"16,667元/平",170万,南毛坯中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105108971135.html
天域半岛近江近地铁四房精装方便看房,天誉半岛 五象文旅,4室2厅,122.51平米,"8,571元/平",105万,南精装中楼层(共47层) ,https://nn.lianjia.com/ershoufang/105116970257.html
五象湖边此房子是五象湖边高档房小区，高楼层，视野好,光明城市梦溪苑 五象湖,4室1厅,149.96平米,"11,670元/平",175万,东毛坯中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115146580.html
3房，100平，精装，媲美九棠府,五象澜庭府锦苑 五象湖,3室2厅,100平米,"13,600元/平",136万,南其他中楼层(共38层) ,https://nn.lianjia.com/ershoufang/105115498199.html
中式园林户型方正出行方透 五象芯,融创九棠府一期 五象湖,4室1厅,116平米,"13,621元/平",158万,南其他低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105113959290.html
五象总部基地   精装修四房，全新未入住  高层好,檀府印象檀逸 五象文旅,4室2厅,126平米,"12,381元/平",156万,南 北其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115433986.html
五象南精装三房，好楼层诚心出售,彰泰郡 五象湖,3室2厅,86平米,"8,373元/平",72万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105113385965.html
五象湖东 开发商精装交付 南北通户型,融创九棠府二期 五象湖,3室1厅,102平米,"10,295元/平",105万,南其他低楼层(共22层) ,https://nn.lianjia.com/ershoufang/105116474850.html
新小区 环境优美 毛坯3房自由设计 有证 随时可以过户,阳光城大唐世家 五象湖,3室2厅,90平米,"9,778元/平",88万,西南毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114919678.html
五象印月低层洋房看园林，安静舒适。,建发五象印月 五象湖,4室2厅,143平米,"23,077元/平",330万,南其他中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116171891.html
地铁口物业。品质小区。视野宽阔。,光明·澜湾九里 五象核心区,4室2厅,126平米,"14,286元/平",180万,南 北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105104860496.html
光明城市梦溪苑 4室2厅 南 北,光明城市梦溪苑 五象湖,4室2厅,103平米,"12,428元/平",128万,南 北其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113578231.html
五象湖居住区，出行方便，龙光品质，14中，4小在旁,龙光天瀛 五象湖,3室2厅,113平米,"19,801元/平",223.75万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115811502.html
小区中间 好位置    配产权车位    户型方正,融创九棠府二期 五象湖,4室2厅,141平米,"10,993元/平",155万,东南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115729597.html
双套间南北格局三阳台 四小五象十四中 地铁公园五象湖,锦麟玖玺 五象湖,4室2厅,166平米,"20,603元/平",342万,南 北其他低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105114670836.html
盛科城 三房 小区好 格局不错 物业管理严格,盛科城 五象核心区,3室2厅,98平米,"17,143元/平",168万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105106562753.html
五象总部基地蟠龙舒适小区物业好,盛科城 五象核心区,3室2厅,123.03平米,"13,818元/平",170万,南 北毛坯低楼层(共44层) ,https://nn.lianjia.com/ershoufang/105113948102.html
建工城四房小区自带游泳池，篮球场，会所，农贸市场,建工城 五象湖,4室2厅,95平米,"9,369元/平",89万,南其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114900267.html
光明城市梦溪苑四房，产权清晰，业主诚心卖，价格可谈,光明城市梦溪苑 五象湖,4室2厅,118平米,"13,136元/平",155万,南 北毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114821422.html
带入户花园，万象汇，双地铁，业主诚心出售,华润二十四城 五象湖,3室2厅,106.39平米,"15,509元/平",165万,南 北精装低楼层(共53层) ,https://nn.lianjia.com/ershoufang/105110508630.html
五象总部基地，港保苑三房两卫带露台，业主诚心卖房！,港保苑 五象核心区,3室2厅,117.58平米,"11,907元/平",140万,东南其他低楼层(共21层) ,https://nn.lianjia.com/ershoufang/105115681606.html
交通便利、五象湖边、户型房正、业主诚心卖,光明城市梦溪苑 五象湖,3室2厅,100平米,"11,500元/平",115万,南毛坯高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105108003458.html
欢乐之家 3室2厅 南,欢乐之家 五象湖,3室2厅,93平米,"8,065元/平",75万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114575966.html
欢乐之家4房格局通风采光好户型方正，楼层好,欢乐之家 五象湖,4室2厅,115平米,"8,261元/平",95万,南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115124996.html
业主自己住装修保养好，宽敞大四房百米上学路,华润二十四城 五象湖,3室2厅,89平米,"15,169元/平",135万,东南其他高楼层(共53层) ,https://nn.lianjia.com/ershoufang/105110683269.html
云星时代广场 1室1厅 南,云星时代广场 五象核心区,1室1厅,60.15平米,"10,807元/平",65万,南其他中楼层(共23层) ,https://nn.lianjia.com/ershoufang/105111958518.html
中式园林 洋房小高层 五象湖公园旁 看房方便,建发央玺 五象湖,4室2厅,143.71平米,"22,963元/平",330万,南其他11层 ,https://nn.lianjia.com/ershoufang/105115968224.html
融创九棠府一期 3室1厅 南,融创九棠府一期 五象湖,3室1厅,97平米,"10,825元/平",105万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116855806.html
五象新区，自住小区，71平毛坯2房，有证满二,阳光城大唐世家 五象湖,2室2厅,71平米,"6,972元/平",49.5万,东南毛坯中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115829377.html
2、3号线地铁，楼下万象汇，百米上学路，看房方便,华润二十四城 五象湖,3室2厅,88.6平米,"16,366元/平",145万,东南 南其他中楼层(共46层) ,https://nn.lianjia.com/ershoufang/105112467465.html
梦溪苑，精装大4房带家具+车位，价格可以美丽,光明城市梦溪苑 五象湖,4室2厅,146.11平米,"13,689元/平",200万,南 北其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105112250984.html
带车位，看房方便，有证随时过户，地铁口物业,华润二十四城 五象湖,3室1厅,82.5平米,"18,788元/平",155万,南其他中楼层(共47层) ,https://nn.lianjia.com/ershoufang/105112382583.html
天誉花园5组团 4室2厅 北 南,天誉花园5组团 五象文旅,4室2厅,124平米,"9,678元/平",120万,北 南其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115315196.html
五象湖央玺 小区中间套好楼层带电梯口车位,建发央玺 五象湖,3室2厅,106.48平米,"24,888元/平",265万,南毛坯高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115390424.html
金科博翠山 4室2厅 东,金科博翠山 玉洞,4室2厅,128平米,"8,438元/平",108万,东精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116278743.html
五象湖 龙光玖珑湖二期 南向大阳台3房2卫出售,龙光玖珑湖二期 五象湖,3室2厅,89平米,"12,697元/平",113万,南其他高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105117350965.html
威宁青运村 3室2厅 东南,威宁青运村 五象核心区,3室2厅,116平米,"13,621元/平",158万,东南精装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105117315849.html
天誉花园 2房 随时看房  地铁4号线,天誉花园4组团 五象文旅,2室1厅,53平米,"7,170元/平",38万,南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112308185.html
不靠路边 全新没住过 朝南 精装三房,万科金域蓝湾 五象湖,3室1厅,89平米,"16,405元/平",146万,南精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116953757.html
五象地铁口公寓，loft精装，配套丰富，交通方便,天誉城 五象文旅,1室1厅,29平米,"6,207元/平",18万,东简装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105117308240.html
精装4房2卫未入住，朝南户型，园林绿化住宅，产权清晰,融创九棠府二期 五象湖,4室2厅,116.32平米,"9,973元/平",116万,南精装中楼层(共25层) ,https://nn.lianjia.com/ershoufang/105115528806.html
总部基地云星钱隆首府E地块4房中间楼层看小区园林,云星钱隆首府E地块 五象核心区,4室2厅,138.05平米,"12,315元/平",170万,南毛坯低楼层(共46层) ,https://nn.lianjia.com/ershoufang/105117307338.html
南北对流双阳台  随时可看 未住过 业主诚心出售,融创九棠府一期 五象湖,4室2厅,125平米,"9,920元/平",124万,南精装中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105114918316.html
五象地铁口公寓，loft精装，配套丰富，交通方便,天誉城 五象文旅,1室1厅,29平米,"6,207元/平",18万,东简装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105117308242.html
五象南+荣和五象学府+业主诚意出售,荣和·五象学府 五象湖,3室1厅,80.59平米,"8,686元/平",70万,南 北精装中楼层(共24层) ,https://nn.lianjia.com/ershoufang/105116240055.html
碧桂园天玺湾 5室2厅 北,碧桂园天玺湾 玉洞,5室2厅,144.32平米,"9,355元/平",135万,北精装中楼层(共27层) ,https://nn.lianjia.com/ershoufang/105117284966.html
天誉半岛精装3房 未入住 地铁4号线门口,天誉半岛 五象文旅,3室2厅,109平米,"8,716元/平",95万,东南精装中楼层(共57层) ,https://nn.lianjia.com/ershoufang/105115053832.html
业主诚心出售 总部基地3号地铁口 方正3房2厅2卫,江悦蓝湾 五象核心区,3室2厅,82平米,"11,220元/平",92万,南 北精装高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105114785166.html
良庆大桥南，3公里到达总部基地，精装交付未入住过,龙光玖誉湖雅湖 五象文旅,5室2厅,134平米,"7,612元/平",102万,南 北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117326592.html
盛科城 3室1厅 南,盛科城 五象核心区,3室1厅,98.56平米,"10,654元/平",105万,南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116861898.html
精装修三房 未入住，看房随时可以,万科金域国际 五象湖,3室1厅,97.68平米,"7,064元/平",69万,南精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105113992536.html
五象南，万科星都荟，价格低，楼层好，你还在等什么？,万科星都荟 五象湖,3室2厅,91.75平米,"7,521元/平",69万,南精装高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105111201966.html
盛邦珑悦精装5房 未入住 无欠款,盛邦珑悦 五象文旅,5室2厅,126.29平米,"8,711元/平",110万,南 北精装中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116486091.html
南宁大桥旁 毛坯改善大四房 中间楼层 适合做婚房,绿城春江明月 五象核心区,4室2厅,139.62平米,"12,893元/平",180万,南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105117096997.html
龙光玖誉湖 御湖 四房朝南 精装修没有住过  看房方便,龙光玖誉湖御湖 五象文旅,4室2厅,116平米,"8,363元/平",97万,南精装低楼层(共21层) ,https://nn.lianjia.com/ershoufang/105117353546.html
澜庭府锦苑 精装4房没住过 中间楼层 近地铁 万象汇,五象澜庭府锦苑 五象湖,4室2厅,112平米,"9,643元/平",108万,南其他中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105117167296.html
天誉半岛小三房，精装修，近江近地铁,天誉半岛 五象文旅,3室2厅,92平米,"8,914元/平",82万,南 北简装中楼层(共25层) ,https://nn.lianjia.com/ershoufang/105115734501.html
中式园林 地铁口 毛坯大三房 中间楼层 看房方便位置好,建发央玺 五象湖,3室2厅,108平米,"16,204元/平",175万,南毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116125858.html
新交房未入住过，无欠款，户型方正，小区绿化环境好,金科城 五象湖,4室2厅,124.8平米,"7,052元/平",88万,南 北精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116844844.html
滨江御景花园精装大三房，近江边近地铁口,滨江御景花园 玉洞,3室1厅,100.75平米,"7,246元/平",73万,南 西精装中楼层(共20层) ,https://nn.lianjia.com/ershoufang/105116530640.html
精装修朝南三房视野好采光足业主诚心出售,万科金域中央一期 玉洞,3室1厅,101平米,"12,377元/平",125万,东南精装高楼层(共58层) ,https://nn.lianjia.com/ershoufang/105117137842.html
玉洞大道阳光西岸 四房空房 楼层好 采光好 有钥匙看房,阳光西岸 玉洞,4室1厅,94.42平米,"11,227元/平",106万,东南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112224756.html
彰泰城A区 3室2厅 南,彰泰城A区 五象核心区,3室2厅,101平米,"11,783元/平",119万,南精装高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105116917554.html
半山雅居 地铁二号线金象站 公立景华小到初 房子新,半山雅居 玉洞,3室2厅,93.24平米,"8,366元/平",78万,南精装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105112779165.html
五象新区天誉城小公寓复试，近江，近地铁,天誉城 五象文旅,1室1厅,40.55平米,"6,166元/平",25万,南毛坯低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116436499.html
总比基地C位上，精装，五个公园环/绕，楼下地铁口,五象明珠 玉洞,3室2厅,100平米,"13,900元/平",139万,南 北精装高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105113269803.html
五象湖居住区，学铁商配套齐全，出行方便,建发五象印月 五象湖,3室2厅,108平米,"19,445元/平",210万,南精装高楼层(共15层) ,https://nn.lianjia.com/ershoufang/105115795785.html
中南紫云集  精装 装修保养好 业主诚心出售,中南紫云集（北区） 玉洞,3室2厅,109.9平米,"11,374元/平",125万,南 北精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112370440.html
天誉半岛 4室2厅 南,天誉半岛 五象文旅,4室2厅,119平米,"8,404元/平",100万,南毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113460276.html
五象湖傍，开发商精装4房业主没入住过，准新房,恒大御景 玉洞,4室2厅,143平米,"9,791元/平",140万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105106785333.html
精装四房，朝南高层横厅户型，万科物业，业主诚心出售,万科金域蓝湾 五象湖,4室2厅,108平米,"19,445元/平",210万,南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115666263.html
五象新区 天誉半岛 江景4房 地铁傍 精装修,天誉半岛 五象文旅,4室2厅,140平米,"14,643元/平",205万,南 北精装低楼层(共61层) ,https://nn.lianjia.com/ershoufang/105109576209.html
高楼层精装修 保养好 诚心出售 看房方便,中南紫云集（南区） 玉洞,3室2厅,95平米,"12,527元/平",119万,南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110415936.html
印月五象天花板小区，小区环境美观，一步到位,建发五象印月 五象湖,3室2厅,108平米,"25,000元/平",270万,南其他高楼层(共19层) ,https://nn.lianjia.com/ershoufang/105115341878.html
精装修，户型方正，没有欠款，高层采光视野好,五象澜庭府锦苑 五象湖,4室2厅,128平米,"10,860元/平",139万,南精装中楼层(共36层) ,https://nn.lianjia.com/ershoufang/105115747927.html
满二无欠款三房 未入住过 产权清晰,五象澜庭府锦苑 五象湖,3室2厅,95平米,"10,422元/平",99万,南其他低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105115455159.html
五象茗城 地铁口物业小四房  诚心出售,五象茗城 五象文旅,4室2厅,119平米,"10,000元/平",119万,南 北其他低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105116161701.html
龙光玖誉湖 精装4房 全新未入住的 总价105万,龙光玖誉湖澜湖 五象文旅,4室2厅,112平米,"9,375元/平",105万,南其他中楼层(共39层) ,https://nn.lianjia.com/ershoufang/105116366584.html
恒大御景 3室2厅 南 北,恒大御景 玉洞,3室2厅,94.03平米,"7,977元/平",75万,南 北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115467675.html
良庆大桥旁 精装3房 朝南 高楼层,龙光玖誉湖御湖 五象文旅,3室2厅,100平米,"10,500元/平",105万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105110546925.html
恒大御景精装3房2厅，业主诚心出售。,恒大御景 玉洞,3室2厅,92.69平米,"8,308元/平",77万,南简装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111284680.html
五象新区，滨江御景，2房南北通透85万,滨江御景花园 玉洞,2室1厅,87平米,"9,196元/平",80万,南 北毛坯中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105105211919.html
五象新区 欢乐之家 三房出售 红本在手 产权清晰,欢乐之家 五象湖,3室2厅,93平米,"6,990元/平",65万,南 东南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114883024.html
合景天汇广场 3室1厅 南,合景天汇广场 五象湖,3室1厅,102平米,"11,275元/平",115万,南其他高楼层(共49层) ,https://nn.lianjia.com/ershoufang/105116649384.html
精装保养好，通风采光好，单价低，总价低,幸福华府2+1 玉洞,3室2厅,118.81平米,"7,576元/平",90万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105107210364.html
彰泰府 4室2厅 东南,彰泰府 五象湖,4室2厅,143平米,"18,882元/平",270万,东南其他中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105116541107.html
中南紫云集北区 精装四房 112平,中南紫云集（北区） 玉洞,4室2厅,112平米,"12,054元/平",135万,南 北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112761703.html
中南紫云集未入住，准新房，买房有车位，无欠款,中南紫云集（南区） 玉洞,3室2厅,95平米,"11,053元/平",105万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105109009485.html
业主诚心出售五象湖精装3房，全新未入住,建发五象印月 五象湖,3室2厅,108平米,"23,612元/平",255万,南精装中楼层(共19层) ,https://nn.lianjia.com/ershoufang/105115299055.html
五象新区 天誉花园6组团 LOFT  看江景  70年住宅,天誉花园6组团 五象文旅,1室1厅,44.43平米,"13,055元/平",58万,北毛坯高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105107795482.html
中南紫云集4-2-1-2 113.00m² 130 万,中南紫云集（南区） 玉洞,4室2厅,113平米,"11,505元/平",130万,南 北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105109512501.html
地铁口中南紫云集精装4房诚心出售中高楼层通风采光好,中南紫云集（南区） 玉洞,4室2厅,111平米,"10,181元/平",113万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115362154.html
百米上学路，地铁，购物，公园，环境优雅,彰泰府 五象湖,4室2厅,115平米,"20,870元/平",240万,北精装低楼层(共20层) ,https://nn.lianjia.com/ershoufang/105116483019.html
房子有证，无欠款，户型方正，朝南,天誉花园6组团 五象文旅,1室1厅,44平米,"13,637元/平",60万,南精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114721647.html
建发五象印月 4室1厅 南,建发五象印月 五象湖,4室1厅,143平米,"27,973元/平",400万,南毛坯低楼层(共9层) ,https://nn.lianjia.com/ershoufang/105116983254.html
万科金域国际顶楼带露台可两套打通,万科金域国际 五象湖,3室2厅,102.89平米,"11,430元/平",117.6万,南精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116825020.html
五象湖旁，低密度，近地铁，稳稳的幸福,湖畔书院 五象湖,5室2厅,165平米,"15,455元/平",255万,南 北其他中楼层(共27层) ,https://nn.lianjia.com/ershoufang/105114920441.html
恒大御景   近地铁  精装两房  全屋家具,恒大御景 玉洞,2室2厅,79.49平米,"8,178元/平",65万,东南精装低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105104347634.html
万科精装此价格带产权车位，无抵押，未入住过,万科金域中央一期 玉洞,4室2厅,126.12平米,"13,321元/平",168万,南精装低楼层(共41层) ,https://nn.lianjia.com/ershoufang/105110372734.html
澜湾九里 江边地铁 业主诚心出售 价格可以沟通,光明·澜湾九里 五象核心区,3室2厅,88.6平米,"12,642元/平",112万,南简装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110942688.html
平乐大道旁，3号线延长线，精装四房，,彰泰郡 五象湖,4室2厅,101.4平米,"10,849元/平",110万,南 北其他低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105110774696.html
龙光玖珑郡 3室2厅 南 北,龙光玖珑郡 五象湖,3室2厅,89平米,"9,326元/平",83万,南 北其他中楼层(共27层) ,https://nn.lianjia.com/ershoufang/105117118461.html
五象湖一路之隔 上叠带露台 业主诚心出售 已出证,建发五象印月 五象湖,4室2厅,168平米,"35,715元/平",600万,南 北其他下叠(共5层) 暂无数据,https://nn.lianjia.com/ershoufang/105113481693.html
高楼层精装交付，业主诚心出售，可随时看房,彰泰郡 五象湖,4室2厅,103平米,"10,680元/平",110万,南 北其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105111905358.html
毛坯4房  楼层矮出入方便  业主诚心出手,五象丽景 玉洞,4室2厅,126平米,"6,747元/平",85万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105109085938.html
房子有证 业主诚心出售 高楼层采光好 户型方正,天誉花园3组团 五象文旅,5室2厅,116.58平米,"9,951元/平",116万,北毛坯高楼层(共38层) ,https://nn.lianjia.com/ershoufang/105110913855.html
房子高楼层，视野开阔，宽敞明亮、户型方正、采光充足,华润二十四城 五象湖,3室2厅,100.31平米,"14,954元/平",150万,南 北其他高楼层(共47层) ,https://nn.lianjia.com/ershoufang/105117016288.html
龙光玖誉湖 江景房 高层采光好  随时看,龙光玖誉湖御湖 五象文旅,4室2厅,129平米,"10,698元/平",138万,南 北精装高楼层(共39层) ,https://nn.lianjia.com/ershoufang/105113060260.html
天誉花园5组团 精装4房 南向，地铁4号线,天誉花园5组团 五象文旅,4室2厅,93平米,"9,140元/平",85万,西南简装中楼层(共45层) ,https://nn.lianjia.com/ershoufang/105112967845.html
精装没住过，诚意出可带车位，心动不如行动！,融创九棠府二期 五象湖,4室2厅,116平米,"9,483元/平",110万,南精装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116706570.html
本房位于城市优质区域，交通便利，生活配套设施齐全。,五象明珠 玉洞,3室2厅,90平米,"9,556元/平",86万,南 北毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105117261808.html
14zhong的隔壁 两房两厅朝南结构，高楼层视野好,湖畔书院 五象湖,2室2厅,82平米,"15,854元/平",130万,南其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115627342.html
华润二十四城精装三房，满五唯一，100万可售！,华润二十四城 五象湖,3室2厅,84.45平米,"12,434元/平",105万,东南精装中楼层(共45层) ,https://nn.lianjia.com/ershoufang/105116455150.html
荣和·半山华府4-2-1-2 95.00m²,荣和·半山华府 玉洞,4室2厅,95.11平米,"9,674元/平",92万,东南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112584734.html
五象南 欢乐之家 正规单位小区 红本在手 诚心出售,欢乐之家 五象湖,3室2厅,93.07平米,"7,522元/平",70万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111378915.html
